Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-1979,139 min,Action,4.5,16,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar
-1994,155 min,"Action, Crime, Drama",5.8,735,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon
-2006,107 min,"Crime, Drama, Horror",4.2,79,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh
-2013,100 min,"Drama, Horror, Thriller",3.8,623,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
-1998,153 min,"Comedy, Romance",6.4,170,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
-1974,107 min,"Drama, Romance",7,213,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak
-1956,146 min,Romance,5.1,7,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
-1964,128 min,"Action, Adventure, Fantasy",6.1,14,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
-1999,111 min,Action,5.4,31,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover
-1966,170 min,"Musical, Romance",6.6,109,Raghunath Jhalani,Asha Parekh,Dharmendra,Balraj Sahni
-2011,125 min,"Action, Musical, Thriller",4.4,346,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
-1995,147 min,"Action, Drama, Romance",5,35,Sachin Pilgaonkar,Sachin,Rohit Kumar Sharma,Dharmendra
-1984,128 min,Comedy,6.6,85,Pankaj Parashar,Ravi Baswani,Raja Bundela,Pawan Malhotra
-1957,133 min,Drama,7.6,80,Amar Kumar,Master Romi,Sulochana Latkar,Lala Yaqoob
-2012,78 min,Comedy,4,6,Deepak Tanwar,Saurabh Malik,Rekha Rana,Omkar Das Manikpuri
-1995,125 min,"Action, Drama",4.8,32,Harish Shah,Rekha,Mithun Chakraborty,Deepika Amin
-2004,129 min,"Action, Crime, Drama",7.8,"8,379",Shimit Amin,Nana Patekar,Revathi,Yashpal Sharma
-2015,106 min,"Action, Crime, Thriller",5.8,"1,344",Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
-1994,127 min,"Drama, Romance",4,6,Rakesh Nahata,Keshto Iqbal,Arvind Joshi,Shalini Kapoor
-2004,193 min,"Action, Drama, War",4.6,"1,494",Anil Sharma,Sanjay Sharma,Amitabh Bachchan,Akshay Kumar
-2004,137 min,"Romance, Thriller",3.2,74,Rajesh Kumar Singh,Chetanya Adeep,Shawar Ali,Arun Bakshi
-2013,160 min,"Drama, Music",6.3,"6,458",Remo D'Souza,Prabhu Deva,Ganesh Acharya,Kay Kay Menon
-1980,136 min,"Action, Drama, Romance",6.4,189,Sanjay Khan,Raj Kapoor,Sanjay Khan,Sanjeev Kumar
-1955,140 min,"Action, Adventure, Fantasy",4.8,21,Ramanlal Desai,Prem Nath,Ameeta,Shashikala
-1995,127 min,Fantasy,7,64,Annu Kapoor,Ankit Desai,Benjamin Gilani,Eka Lakhani
-1977,135 min,"Action, Drama, Thriller",5.4,10,Roshan Taneja,Jaya Bachchan,Danny Denzongpa,Simi Garewal
-1968,141 min,"Drama, Romance",6.8,24,Amit Bose,Meena Kumari,Nanda,Sanjay Khan
-1973,122 min,"Drama, Musical",7.9,"2,665",Hrishikesh Mukherjee,Amitabh Bachchan,Jaya Bachchan,Asrani
-1991,140 min,"Crime, Drama, Musical",7,326,Priyadarshan,Mohanlal,Shankar,Ajayan Adoor
-1989,168 min,"Action, Comedy, Drama",4.6,28,Tony Juneja,Anil Kapoor,Kimi Katkar,Poonam Dhillon
-1970,154 min,"Drama, Romance",6.7,70,Subodh Mukherji,Shashi Kapoor,Hema Malini,Deb Mukherjee
-1984,132 min,Drama,5.8,109,Hiren Nag,Tapas Pal,Madhuri Dixit,Sheela Sharma
-2010,105 min,"Crime, Drama, Thriller",4,284,Mahesh Nair,Farooq Shaikh,Celina Jaitly,Abhimanyu Singh
-1973,96 min,"Crime, Drama",6.8,213,Gulzar,Vinod Khanna,Om Shivpuri,Lily Chakravarty
-1998,160 min,"Action, Mystery, Thriller",4,245,Naresh Malhotra,Govinda,Manisha Koirala,Farha Naaz
-1936,142 min,"Drama, Musical, Romance",6.5,114,Franz Osten,Devika Rani,Ashok Kumar,Monorama
-2009,108 min,"Action, Crime, Mystery",5,677,Suparn Varma,Fardeen Khan,Dia Mirza,Manoj Bajpayee
-2019,158 min,"Action, Adventure, Thriller",4.5,858,Sundar C.,Vishal,Tamannaah Bhatia,Aishwarya Lekshmi
-2014,144 min,"Action, Crime, Thriller",3.3,"3,461",Prabhu Deva,Prabhas,Ajay Devgn,Sonakshi Sinha
-2010,129 min,"Comedy, Romance, Sci-Fi",4.2,"5,814",Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Aditya Roy Kapoor
-2010,120 min,"Action, Crime, Drama",3.6,49,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy
-1958,139 min,"Drama, Musical, Romance",6.9,36,Kalidas,Nargis,Pradeep Kumar,Pran
-1976,138 min,"Action, Drama, Family",6.4,284,Narendra Bedi,Amitabh Bachchan,Waheeda Rehman,Neetu Singh
-1965,137 min,"Action, Drama, Mystery",6.6,28,Nanabhai Bhatt,Ashok Kumar,Ragini,Sailesh Kumar
-1954,126 min,"Comedy, Drama, Romance",6.7,13,Mohan Segal,Usha Kiran,Kishore Kumar,Yashodra Katju
-2001,151 min,"Action, Drama",5.4,533,Ravi Raja,Nagarjuna Akkineni,Ali,Mohan Babu
-2007,88 min,Drama,4.7,11,Vimal Reddy,Tania Nazmeen Dean,Rajnel Prasad,Ratu Rakuita Tawake
-2010,150 min,"Action, Comedy, Thriller",6.8,"2,393",V.V. Vinayak,N.T. Rama Rao Jr.,Nayanthara,Sheela Kaur
-1983,130 min,"Biography, Drama",7.3,240,G.V. Iyer,Sarvadaman Banerjee,M.V. Narayana Rao,Manjunath Bhatt
-1955,150 min,Drama,5,8,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru
-1990,145 min,"Action, Comedy, Fantasy",6.9,335,S.P. Muthuraman,Rajinikanth,Chinnijayanth,Jai Ganesh
-2017,106 min,"Drama, Family, Horror",3.3,102,Sandeep Chatterjee,Nishat Mallick,Archana Kotwal,Ravi Kumar
-1983,122 min,Drama,5.5,76,S.P. Muthuraman,Rajinikanth,Sridevi,Varalakshmi S.
-2019,120 min,Adventure,6.6,12,Manoj Palrecha,Suvahhdan Angre,Neel Bakshi,Prachita Gujar
-1978,151 min,Adventure,4.7,7,Homi Wadia,Nazneen,Jayshree T.,Raza Murad
-1980,153 min,"Action, Adventure, Family",6.2,506,Latif Faiziyev,Umesh Mehra,Dharmendra,Hema Malini
-1985,135 min,"Action, Adventure, Comedy",4.6,140,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri
-2011,82 min,"Documentary, Biography, Musical",7.9,13,Makarand Brahme,,,
-2016,158 min,"Drama, Music, Musical",5.8,"21,661",Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma
-2004,152 min,"Action, Drama, Musical",4.6,"1,013",Vikram Bhatt,Amitabh Bachchan,John Abraham,Bipasha Basu
-1997,153 min,"Action, Comedy, Crime",4.5,"1,261",Guddu Dhanoa,Akshay Kumar,Urmila Matondkar,Anupam Kher
-1986,134 min,"Adventure, Thriller",6.6,18,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
-1966,134 min,"Drama, Romance",6.5,12,Brij,Ashok Kumar,Pradeep Kumar,Padmini
-1951,168 min,"Drama, Family",7.8,57,B.R. Chopra,Ashok Kumar,Veena,Jeevan
-2001,195 min,"Drama, Romance",3.6,"1,025",J. Om Prakash,Aashish Kaul,Juni,Rahul Roy
-1991,145 min,"Drama, Romance",5.9,783,M.R. Shahjahan,Aamir Khan,Neelam Kothari,Deepak Tijori
-1950,121 min,"Comedy, Romance",7.1,19,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta
-2014,92 min,"Crime, Mystery",6.3,43,Ajay Govind,Udayan Banerjee,Akanksha D. Sharma,Sukhesh Arora
-1983,161 min,"Drama, Family",6.4,152,Lekh Tandon,Rajesh Khanna,Rekha,Raj Babbar
-1972,153 min,"Adventure, Comedy, Drama",6.6,30,A.P. Subbaraav,T.S. Balaiah,J.P. Chandrababu,Devagi
-1977,139 min,"Action, Crime, Drama",5.7,84,Deepak Bahry,Mahendra Sandhu,Asha Sachdev,Iftekhar
-2012,157 min,"Action, Adventure, Thriller",5.2,"7,210",Sriram Raghavan,Kareena Kapoor,Saif Ali Khan,Rajat Kapoor
-1985,138 min,"Drama, Crime",7.1,120,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur
-1988,153 min,"Action, Drama, Romance",5.1,29,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
-1997,142 min,Action,3.1,14,Raju Chouhan,Aparajita,Birbal,Dharmendra
-1990,161 min,"Action, Crime, Drama",5.6,26,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Masum Ali,Sadashiv Amrapurkar
-1990,174 min,"Action, Crime, Drama",7.7,"8,500",Mukul Anand,Amitabh Bachchan,Mithun Chakraborty,Madhavi
-2012,174 min,"Action, Crime, Drama",6.9,"22,895",Karan Malhotra,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt
-1997,137 min,Action,7.8,33,Anand P. Raju,Saroja Devi B.,Saikumar,Ranjitha
-1981,130 min,"Crime, Drama",6,22,Kamal Majumdar,Amol Palekar,Parikshit Sahni,Rameshwari
-1996,142 min,"Drama, Musical, Romance",6.1,684,Partho Ghosh,Jackie Shroff,Nana Patekar,Manisha Koirala
-1997,123 min,Action,3.6,53,Ketan Anand,Amit Suryavanshi,Naseeruddin Shah,Govinda
-2000,140 min,Action,4.6,24,Vijay Reddy,Asrani,Mithun Chakraborty,Pinky Chinoy
-2002,126 min,"Drama, Fantasy, Romance",4.6,361,Arjun Sajnani,Jackie Shroff,Kumar Iyengar,Raveena Tandon
-1980,124 min,"Musical, Comedy, Drama",6.2,19,Anil Ganguly,Rekha,Utpal Dutt,Shailendra Singh
-2009,130 min,"Drama, Horror, Mystery",2.9,620,Ram Gopal Varma,Nithiin,Priyanka Kothari,Rasika Dugal
-2019,81 min,"Comedy, Drama",7.2,213,Nikhil Pherwani,Arif Zakaria,Niharika Singh,Abuli Mamaji
-1995,145 min,Drama,5.9,53,Ashim S. Samanta,Mithun Chakraborty,Mamta Kulkarni,Prem Chopra
-1979,103 min,"Action, Drama",4.1,10,Chand,Sunil Dutt,Rekha,Ranjeet
-1981,141 min,"Musical, Romance",7,45,Esmayeel Shroff,Parveen Babi,Suresh Chatwal,Aruna Irani
-2006,122 min,"Drama, Romance",7,"1,491",Shivam Nair,Abhay Deol,Soha Ali Khan,Shayan Munshi
-1979,144 min,"Drama, Romance",5.7,38,Surindara Suri,Shashi Kapoor,Simi Garewal,Rakesh Bedi
-2016,130 min,"Drama, History",8,"53,897",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra
-2015,120 min,Drama,6.6,52,Biswajeet Bora,Yashpal Sharma,Ira Dubey,Tinnu Anand
-2010,126 min,"Comedy, Drama, Romance",5,"3,953",Rajshree Ojha,Sonam Kapoor,Abhay Deol,Amrita Puri
-1996,132 min,"Comedy, Romance",6.6,68,Sachin Pilgaonkar,Sachin,Sachin Pilgaonkar,Vivek Mushran
-2009,125 min,"Action, Comedy, Drama",4.1,7,Abdul Qayyoom Khan,Sarvar Ahuja,Preeti Arora,Pankaj Berry
-1985,133 min,"Romance, Thriller",6.9,149,Mukul Anand,Raj Babbar,Dimple Kapadia,Danny Denzongpa
-2004,160 min,"Drama, Romance, Thriller",6.6,"9,721",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Kareena Kapoor
-2018,157 min,"Action, Drama, Thriller",5.3,"4,167",Neeraj Pandey,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh
-2012,152 min,"Comedy, Romance",4.4,"1,765",Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant
-2012,116 min,"Comedy, Romance",4.2,520,Sanjay Gadhvi,Jackky Bhagnani,Nidhi Subbaiah,Darshan Jariwala
-2009,150 min,"Action, Comedy, Romance",6.4,"13,194",Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala
-2017,115 min,Drama,5.8,52,Rishi Prakash Mishra,Ajay Kumar Singh,Vikas Giri,Rajesh Jais
-1974,139 min,"Drama, Romance",6.5,174,Shakti Samanta,Rajesh Khanna,Zeenat Aman,Prem Chopra
-1996,146 min,"Action, Drama, Romance",3.7,187,Suneel Darshan,Sunny Deol,Karisma Kapoor,Reena Roy
-2021,142 min,"Drama, Romance",6.7,"4,133",Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta
-2017,104 min,Drama,6.9,973,Devashish Makhija,Sushama Deshpande,Smita Tambe,Sharvani Suryavanshi
-2001,165 min,"Action, Crime, Drama",6.4,"8,164",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Bobby Deol
-1991,178 min,"Action, Adventure, Comedy",5.3,"1,214",Shashi Kapoor,Gennadiy Vasilev,Amitabh Bachchan,Dimple Kapadia
-2004,125 min,"Action, Thriller",5,39,Raam Shetty,Aditya,Sheetal Bavishi,Om Puri
-2020,108 min,"Action, Comedy, Crime",6.9,"12,429",Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor
-2013,149 min,"Drama, Romance",6.3,"1,857",Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
-1965,136 min,Drama,6.6,32,Phani Majumdar,Dharmendra,Mehmood,Ashok Kumar
-1991,180 min,"Action, Drama, Thriller",5,421,Ramesh Sippy,Amitabh Bachchan,Jackie Shroff,Amrita Singh
-1979,139 min,"Drama, History, Musical",7.7,38,N.T. Rama Rao,N.T. Rama Rao,Nandamuri Balakrishna,Unni Mary
-2014,58 min,Thriller,5.5,10,Abrar,Adil Ahamad,Roman Ajaz,Casim Bilal
-1995,160 min,Drama,7,"4,780",Mansoor Khan,Aamir Khan,Manisha Koirala,Master Adil
-1999,165 min,Romance,5.6,11,Vinod Pande,Perena Agarwal,Nandini Ghosal,Brij Gopal
-2002,146 min,"Comedy, Romance",5.1,881,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
-1989,132 min,"Action, Drama",5.3,13,Sudesh Issar,Shashi Kapoor,Rajan Sippy,Suresh Oberoi
-2001,184 min,"Action, Crime, Horror",5.8,"1,627",Rakeysh Omprakash Mehra,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee
-2006,135 min,"Drama, Romance, Thriller",4.8,"1,152",Ananth Narayan Mahadevan,Emraan Hashmi,Udita Goswami,Dino Morea
-2017,127 min,"Crime, Drama, Mystery",3.6,417,Ananth Narayan Mahadevan,Zareen Khan,Gautam Rode,Lillete Dubey
-1977,160 min,"Drama, Musical",6.7,327,Hrishikesh Mukherjee,Amitabh Bachchan,Rekha,Chhayadevi
-1952,144 min,"Adventure, Fantasy",5.9,15,Homi Wadia,Mahipal,Meena Kumari,S.N. Tripathi
-2009,132 min,"Action, Adventure, Comedy",4.6,"2,839",Sujoy Ghosh,Amitabh Bachchan,Sanjay Dutt,Riteish Deshmukh
-1985,174 min,"Family, Musical, Romance",6.4,86,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
-2006,123 min,"Action, Drama, Fantasy",3.8,"1,172",Ashu Trikha,Akshay Kapoor,Dia Mirza,Yatin Karyekar
-2019,136 min,Comedy,6.9,7,Uttar Kumar,Vikas Balian,Usha Devi,Monu Dhankad
-1973,124 min,Drama,6.8,8,Nanubhoy Vakil,Nazima,Ajit Sachdev,Paidi Jairaj
-1979,144 min,"Adventure, Drama, Fantasy",6.6,161,I.V. Sasi,Kamal Haasan,Rajinikanth,Jayabharati
-2001,145 min,"Comedy, Drama, Romance",3.7,737,Deepak Sareen,Govinda,Aishwarya Rai Bachchan,Jackie Shroff
-1951,158 min,"Comedy, Drama, Musical",7,82,Master Bhagwan,Geeta Bali,Master Bhagwan,Badri Prasad
-1980,110 min,"Comedy, Drama, Romance",7.5,428,Saeed Akhtar Mirza,Naseeruddin Shah,Shabana Azmi,Smita Patil
-2019,100 min,Drama,5.5,349,Soumitra Ranade,Manav Kaul,Nandita Das,Amarjeet Amle
-2019,109 min,Drama,5.9,37,Irene Zoe Alameda,Aitana Sánchez-Gijón,Aida Folch,Rohit Choudhary
-1966,154 min,"Adventure, Fantasy, Romance",6.4,14,Homi Wadia,Sanjeev Kumar,L. Vijayalakshmi,David Abraham
-1954,145 min,"Action, Adventure, Drama",6.2,46,Homi Wadia,Shakila,Mahipal,B.M. Vyas
-1977,163 min,"Action, Adventure",6.7,27,Kedar Kapoor,Urmila Bhatt,Birbal,Jagdeep
-2017,120 min,Drama,6.5,137,Zaigham Imam,Neelima Azim,Pawan Tiwari,Bhavna Pani
-1953,135 min,Fantasy,6.3,11,K. Amarnath,Nimmi,Asha Mathur,Pran
-2015,114 min,"Biography, Drama",7.8,"6,402",Hansal Mehta,Manoj Bajpayee,Rajkummar Rao,Ashish Vidyarthi
-2015,126 min,"Comedy, Drama, Romance",3.8,"1,513",Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
-2020,97 min,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
-1984,128 min,"Action, Drama",4.8,31,Mohan Kumar,Kumar Gaurav,Rati Agnihotri,Vinod Mehra
-2009,144 min,"Action, Comedy, Drama",6.2,"5,786",Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan
-2010,123 min,"Action, Crime, Drama",6.1,303,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale
-1997,149 min,Comedy,4.3,7,Ravindra Arora,Zahid Ali,Shakti Kapoor,Kader Khan
-1986,160 min,"Action, Drama",5.4,132,Ketan Desai,Jackie Shroff,Shammi Kapoor,Waheeda Rehman
-2015,133 min,Horror,3.7,"1,622",Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
-2011,126 min,"Comedy, Crime, Drama",4,"1,295",Roshan Abbas,Lillete Dubey,Satyajeet Dubey,Ali Fazal
-1994,140 min,"Action, Drama",4.7,552,Raj N. Sippy,Sanjay Dutt,Akshay Kumar,Heera Rajgopal
-1967,152 min,"Adventure, Drama, Romance",6.5,41,Mohan Kumar,Rajendra Kumar,Saira Banu,Balraj Sahni
-2016,137 min,Action,6.6,23,Kader Kashmiri,Sonia Albizuri,Dev Anand,Bob Christo
-1975,153 min,"Drama, Family",7,232,Shakti Samanta,Uttam Kumar,Sharmila Tagore,Prema Narayan
-1954,149 min,"Drama, Musical, Romance",6.8,162,Mehboob Khan,Madhubala,Nimmi,Dilip Kumar
-1958,148 min,"Musical, Romance",6.6,38,T. Prakash Rao,Dev Anand,Vyjayanthimala,Padmini
-1936,166 min,Drama,6.1,17,Shantaram Rajaram Vankudre,Durga Khote,Shanta Apte,Vasanti
-1972,143 min,"Drama, Musical, Romance",8.2,"1,592",Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Sujit Kumar
-2020,143 min,Drama,4.4,25,Tanveer Hashmi,Chandrima Banerjee,Kundan Bhardwaj,Sufi
-1961,121 min,Drama,6.5,14,Prabhu,Rajendra Kumar,Nalini Jaywant,Nanda
-1978,133 min,"Action, Adventure, Comedy",4.9,16,Harmesh Malhotra,Shashi Kapoor,Shatrughan Sinha,Sulakshana Pandit
-1977,184 min,"Action, Comedy, Drama",7.5,"7,336",Manmohan Desai,Vinod Khanna,Rishi Kapoor,Amitabh Bachchan
-2019,134 min,"Horror, Thriller",2.8,308,Bhushan Patel,Ali Asgar,Ali Asgar,Vivan Bhatena
-1990,153 min,Family,4.2,41,Mohan Kumar,Shabana Azmi,Anil Kapoor,Meenakshi Sheshadri
-1952,141 min,"Action, Adventure, Drama",6.9,65,Jayant Desai,Nargis,Raj Kapoor,Agha
-2013,95 min,Mystery,4.4,16,Apurv Bajpai,Rohan Jardosh,Ishita Salot,Gunjan Vyas
-2001,100 min,"Comedy, Drama, Romance",6.6,"1,585",Piyush Dinker Pandya,Deep Katdare,Ronobir Lahiri,Purva Bedi
-1974,140 min,"Action, Thriller",6.6,90,Mohan Kumar,Dev Anand,Hema Malini,Prem Nath
-1990,155 min,Family,4.9,47,Harmesh Malhotra,Jeetendra,Rekha,Rishi Kapoor
-2014,110 min,"Comedy, Romance",5.4,347,Ajay Bhuyan,Vir Das,Vega Tamotia,Anindita Nayar
-1986,135 min,Drama,6.2,11,Jiten,Rakhee Gulzar,Mithun Chakraborty,Suresh Oberoi
-2001,110 min,"Drama, Fantasy, Thriller",5.6,7,C.H. Balaji Singh Babu,Dhamini,Kumar Govind,Prema
-2021,117 min,"Comedy, Drama",8.1,871,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket
-1966,119 min,"Musical, Fantasy",6.6,194,Lekh Tandon,Vyjayanthimala,Sunil Dutt,Prem Nath
-1986,137 min,"Drama, Family",7,169,Mohan Kumar,Rajesh Khanna,Smita Patil,Aruna Irani
-2005,102 min,Drama,7.3,856,Shonali Bose,Konkona Sen Sharma,Yashpal Sharma,Brinda Karat
-2018,72 min,Documentary,8.4,11,Hemant Gaba,,,
-1967,168 min,"Musical, Romance, Thriller",6.9,328,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Sarita
-1968,57 min,Documentary,7.1,25,S. Sukhdev,,,
-2016,96 min,"Documentary, Thriller",8.7,"1,928",Khushboo Ranka,Vinay Shukla,Arvind Kejriwal,Saurabh Bhardwaj
-2017,113 min,Drama,5.9,"1,636",Avinash Das,Pankaj Tripathi,Swara Bhaskar,Sanjay Mishra
-1973,125 min,"Mystery, Romance, Musical",7.1,278,Raghunath Jhalani,Sanjeev Kumar,Jaya Bachchan,Iftekhar
-1971,122 min,"Drama, Musical",8.3,"31,937",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal
-1952,176 min,"Biography, Drama, History",7.6,85,Hemen Gupta,Prithviraj Kapoor,Geeta Bali,Ranjana
-1977,127 min,"Drama, Family",7.1,140,Shakti Samanta,Ashok Kumar,Uttam Kumar,Sharmila Tagore
-1959,166 min,"Comedy, Drama, Musical",7.9,740,Hrishikesh Mukherjee,Raj Kapoor,Nutan,Lalita Pawar
-1993,171 min,"Comedy, Drama, Romance",4.8,429,K. Muralimohana Rao,Rakhee Gulzar,Venkatesh Daggubati,Karisma Kapoor
-1975,144 min,"Drama, Romance",6.2,36,Asit Sen,Shashi Kapoor,Sharmila Tagore,Moushumi Chatterjee
-1999,169 min,Comedy,5,636,Kuku Kohli,Govinda,Raveena Tandon,Simran
-1953,175 min,"History, Musical, Romance",7.2,72,Nandlal Jaswantlal,Bina Rai,Pradeep Kumar,Kuldip Kaur
-2016,93 min,"Crime, Drama",5.4,54,Deepa Mehta,Vansh Bhardwaj,Tia Bhatia,Janki Bisht
-2003,145 min,"Drama, Musical, Romance",5.3,"2,359",Raj Kanwar,Akshay Kumar,Lara Dutta,Priyanka Chopra Jonas
-1949,148 min,"Musical, Drama, Crime",7.2,498,Mehboob Khan,Nargis,Dilip Kumar,V.H. Desai
-1971,166 min,"Drama, Romance",6.7,275,Ramesh Sippy,Shammi Kapoor,Rajesh Khanna,Hema Malini
-1994,167 min,"Action, Comedy, Drama",4.4,402,David Dhawan,Anil Kapoor,Juhi Chawla,Karisma Kapoor
-1994,160 min,"Action, Comedy, Romance",8.1,"50,810",Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon
-1990,148 min,"Action, Drama",6.8,16,Shakti Samanta,Mithun Chakraborty,Mandakini,Tanuja
-1985,144 min,"Action, Crime, Drama",6.8,53,Major Sundarrajan,Kamal Haasan,Urvashi,Y.G. Mahendran
-1983,155 min,"Action, Drama",6.1,666,Rama Rao Tatineni,Amitabh Bachchan,Rajinikanth,Hema Malini
-2018,139 min,"Crime, Drama, Music",8.2,"77,901",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte
-1975,110 min,"Crime, Drama, Thriller",5.1,30,Shyam Ramsay,Tulsi Ramsay,Sameer Khan,Vani Ganpati
-1986,129 min,"Comedy, Drama",6.8,56,Dada Kondke,Dada Kondke,Usha Chavan,Dina Pathak
-1984,152 min,"Drama, Thriller",5.5,13,Buddhadev Dasgupta,Deepti Naval,Mahesh Bhatt,Anil Chatterjee
-1995,165 min,"Action, Comedy, Drama",5,249,Aziz Sejawal,Ishrat Ali,Somy Ali,Divya Bharti
-1992,176 min,"Action, Crime, Drama",6.4,297,Shashilal K. Nair,Jackie Shroff,Dimple Kapadia,Nana Patekar
-1996,127 min,"Action, Crime",4.3,30,Anil Ganguly,Sadashiv Amrapurkar,Suresh Bhagwat,Hemant Birje
-1998,141 min,"Action, Crime, Drama",5.3,793,Mahesh Bhatt,Akshay Kumar,Nagarjuna Akkineni,Pooja Bhatt
-2011,114 min,"Action, Drama",6.3,84,Ganesh Acharya,Sumit Arora,Arun,Raakesh Babu
-1982,131 min,Comedy,8.3,"4,924",Gulzar,Sanjeev Kumar,Moushumi Chatterjee,Deven Verma
-2005,106 min,Drama,6.1,53,Kanti Shah,Sapna Sappu,Rajesh Sabharwal,Amit Pachori
-1995,116 min,"Action, Romance",4.4,167,Ravi Raja Pinisetty,Sunny Deol,Pooja Bhatt,Rami Reddy
-2020,145 min,"Comedy, Drama",7.3,"11,700",Homi Adajania,Irrfan Khan,Radhika Madan,Kareena Kapoor
-2015,121 min,"Comedy, Drama",7,"2,749",Pan Nalin,Sarah Jane Dias,Rajshri Deshpande,Sandhya Mridul
-1960,153 min,"Action, Adventure, Drama",6.1,28,Vijay Bhatt,Nimmi,Bharat Bhushan,Anita Guha
-1952,155 min,"Drama, Romance, Thriller",7.2,77,Khwaja Ahmad Abbas,Nargis,Raj Kapoor,Agha
-1973,127 min,"Drama, Romance, Thriller",7.1,40,Ravi Tandon,Sanjeev Kumar,Leena Chandavarkar,Padma Khanna
-1967,154 min,"Musical, Thriller, Mystery",6.4,120,Raj Khosla,Sadhana,Manoj Kumar,I.S. Johar
-1987,136 min,Thriller,5.3,12,T. Hariharan,Rajan Sippy,Parijat,Shashi Kapoor
-1994,170 min,"Drama, Thriller",6.9,"6,093",Rahul Rawail,Madhuri Dixit,Shah Rukh Khan,Tinnu Anand
-1969,152 min,Romance,5.6,48,Mohan Kumar,Rajendra Kumar,Babita Kapoor,Pran
-2010,151 min,"Comedy, Drama, Musical",5.8,"6,416",Siddharth Anand,Priyanka Chopra Jonas,Aubrey K. Miller,Ranbir Kapoor
-2005,110 min,Horror,3.9,71,Harryy W. Fernaandes,Manisha Koirala,Sanjay Kapoor,Helen
-1969,133 min,"Action, Comedy, Crime",5.8,12,Babubhai Mistry,Feroz Khan,Nalini,Helen
-2003,168 min,"Action, Crime, Drama",3.4,363,N. Maharajan,Ajith Kumar,Meera Jasmine,Raghuvaran
-2009,143 min,"Action, Comedy, Crime",4.8,324,Parasuram,Ravi Teja,Nayanthara,Kota Srinivasa Rao
-1985,135 min,Drama,7.1,109,Amol Palekar,Amol Palekar,Deepti Naval,Devika Mukherjee
-2006,151 min,"Biography, Drama, Romance",4.1,366,Vikram Bhatt,Aftab Shivdasani,Ameesha Patel,Esha Deol
-1968,172 min,"Action, Adventure, Drama",7.2,325,Ramanand Sagar,Mala Sinha,Dharmendra,Kumkum
